,prob
0,0.021333333333333333
1,0.017666666666666667
2,0.018333333333333333
3,0.019666666666666666
4,0.02033333333333333
5,0.027333333333333334
6,0.023666666666666666
7,0.01633333333333333
8,0.019333333333333334
9,0.023
10,0.14166666666666666
11,0.017
12,0.019666666666666666
13,0.024
14,0.026
15,0.023
16,0.024666666666666667
17,0.02266666666666667
18,0.033666666666666664
19,0.02666666666666667
20,0.024
21,0.023
22,0.030666666666666665
23,0.023333333333333334
24,0.024
25,0.026
26,0.028666666666666667
27,0.022
28,0.022
29,0.024333333333333332
30,0.0
31,0.024666666666666667
32,0.024
33,0.018333333333333333
34,0.026333333333333334
35,0.02
36,0.018666666666666668
37,0.018
38,0.018333333333333333
39,0.018
